nf_calories,nf_sodium,nf_dietary_fiber,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_serving_weight_grams,key_ingredient
42.82,1.36,0.37,1.51,0,0,0,2,28.35,Fettuccine
230,0,,1,,,,,,Clotted Cream
422.37,5.85,8.54,8.11,5.01,0,0.82,15.47,117,Corn Flour
146.2,313.65,0,20.23,5.17,19.27,2.81,31.73,85,Mussels
390,8,0,14,21,0,3,9,83,Fideo
64.6,15.3,0,12.31,0.68,1.42,0.68,1.51,85,Monkfish
221.2,1.4,2.52,8.12,0,0,1,10,140,Vermicelli Pasta
9,1670,0,2,0,0,0,0,,Baby Squid
250.22,119.64,0,42.41,1.82,21.3,8.73,10.27,272,Squid
37.28,363.48,0,5.27,0.28,0.39,0.7,0.13,233,Fish Stock
131.37,400,1.1,13.2,,,,,100,Pilchards
3.68,23.52,0.1,0.03,0.26,0.05,0.28,0.59,3.2,Black Olives
41.36,2.82,1.32,1.28,0.04,8.15,2.07,1.25,94,Onion
5.58,1.55,0.37,0.27,5.16,7.08,0.31,0.47,31,Tomato
1287.34,225.38,0,72.54,16.04,0,4.2,57.3,382,Duck
376.42,240,0.8,25.8,,,,,,Duck Legs
7.4,320,0.1,0.1,,,,,,Chicken Stock Cube
180.78,8.28,0,7.1,0.55,0,0.83,8.74,138,Pappardelle Pasta
198,0.04,1.9,7.8,0,0,1,4,56,Paccheri Pasta
213.3,1.35,2.43,7.83,0,0,0.95,9.6,135,Linguine Pasta
1.09,0.1,0.07,0.08,0.54,2.08,0.11,0.28,2.6,Sugar Snap Peas
78.58,124,0.8,3.2,,,,,30.5,Crusty Bread
48.25,40,,7.4,,,,,100,Fromage Frais
125.8,1021.7,0,21.72,9.69,31.31,7.82,13.27,85,Clams
35.11,160,1.1,1.2,,,,,100,Passata
88.37,0,,0,,,,,10,Rapeseed Oil
60.01,194.82,0,3.64,2.45,0,8.98,0.29,17,Stilton Cheese
140,70,0,23,0,0,2,10,113,Lamb Leg
37.42,19.56,0,5.67,0,0,0.34,2.74,28.35,Lamb Shoulder
16.8,0.35,0.7,0.49,13.48,5.83,0.46,0.76,35,Apricot
82,8.2,6.56,1.85,457.35,51.59,8.4,6.83,205,Butternut Squash
175.84,7.85,2.2,5.95,0,0,1.26,3.31,157,Couscous
308.45,103.19,0,30.62,0.2,0,3.18,17.52,113.4,Minced Beef
327.66,107.95,0,31.88,2.97,0,6.23,13.97,127,Turkey Mince
479.88,2865.33,2.51,2.29,12.5,2.79,9.21,9.92,279,Barbeque Sauce
143.04,1.49,3.58,5.08,7.84,13.66,0.45,3.72,149,Sweetcorn
87.66,2,0,0.05,,,,,10,Goose Fat
1808.1,0,0,0,0,0,0,0,205,Duck Fat
72.54,121.68,7.25,2.9,45.07,46.8,11.47,9.49,234,Fennel
